id,result,league_id,season_id,venue_id,venue_city,attendance,venue_capacity,home_country_id,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_dist(km),colors_home_color,colors_away_color,home_not_home,travel_outside_state,attendance_ratio,season_name_codes
251728,2,301,765,37,Furiani,13122,16078,17,1,23.9,27,48,1022,30,21,3.06,1,886,BL,W,0,0,0.8161462868515985,0
251738,0,301,765,4451,Monaco,8019,18523,75285,1,17.9,25,73,1014,10,312,0.92,1,977,RE,RE,0,1,0.4329212330615991,0
2188,1,8,13,199,Hull,20137,25400,462,1,20.2,54,62,1014,10,315,3.36,0,136,RE,GRN,0,0,0.7927952755905512,0
2208,2,8,13,201,London,24490,25073,462,1,22.2,38,62,1022,43,243,4.28,0,179,BL,GRN,0,0,0.9767478961432616,0
2225,0,8,13,203,Middlesbrough,32110,34988,462,1,19.0,63,61,1019,39,279,7.39,0,188,RE,GRN,0,0,0.9177432262489996,0
2197,2,8,13,200,Burnley,19126,21401,462,1,16.7,58,71,1021,36,283,5.08,0,265,RE,W,0,1,0.8936965562356899,0
2216,0,8,13,12,Liverpool,34494,40569,462,1,17.7,70,71,1023,16,289,7.14,0,305,BL,W,0,0,0.8502551209051246,0
2234,0,8,13,167,Southampton,31488,32505,462,1,21.3,51,67,1023,36,247,5.72,0,108,RE,YE,0,0,0.9687125057683433,0
251748,1,301,765,2081,Bordeaux,34212,42115,17,1,33.7,0,25,1020,21,54,2.67,0,394,BL,W,0,0,0.8123471447227829,0
2244,1,8,13,151,Manchester,54362,55097,462,1,17.0,25,63,1015,10,292,6.0,0,168,GRN,RE,0,0,0.9866598907381527,0
251760,1,301,765,126,Montpellier,10389,22000,17,1,23.5,0,47,1023,41,214,3.89,0,547,BL,BL,0,0,0.4722272727272727,0
252147,2,301,765,4478,Dijon,9236,16098,17,1,28.0,0,45,1021,26,170,2.08,0,499,RE,YE,0,0,0.5737358678096658,0
252536,1,301,765,633,Caen,16920,21215,17,1,19.9,0,73,1024,13,5,3.58,0,271,BL,W,0,0,0.7975489040773038,0
252926,1,301,765,2042,Longeville-lès-Metz,17174,26661,17,1,26.7,0,45,1021,24,284,3.83,0,275,RE,W,0,0,0.6441618844004351,0
2254,2,8,13,146,Bournemouth,11355,11700,462,1,23.7,50,44,1016,10,313,1.81,0,305,RE,RE,0,0,0.9705128205128205,0
252938,2,301,765,2046,Tomblaine,18885,20087,17,1,28.2,0,34,1020,37,310,3.58,0,340,W,RE,0,0,0.9401603026833275,0
252948,1,301,765,51,Nice,19075,36178,17,1,27.0,0,56,1021,32,168,2.56,0,846,RE,BL,0,0,0.5272541323456245,0
2263,2,8,13,204,London,60033,60272,462,1,22.4,3,44,1025,41,41,3.36,0,285,RE,RE,0,0,0.9960346429519512,0
252959,0,301,765,6159,Marseille,37364,67394,17,1,25.0,4,39,1013,10,239,3.42,1,322,W,W,1,0,0.5544113719322195,0
2277,1,8,13,321614,London,41521,41798,462,1,17.8,4,62,1022,45,106,3.75,1,14,BL,RE,0,0,0.9933728886549595,0
252969,1,301,765,6161,Décines-Charpieu,41171,59186,17,1,24.9,45,54,1014,10,30,1.19,1,556,W,BL,0,0,0.6956205859493799,0
401484,0,564,853,9233,Málaga,22199,28963,32,1,31.9,13,46,1017,10,217,1.03,1,714,GRN,RE,0,0,0.7664606566999275,0
2286,1,8,13,206,Manchester,75326,75635,462,1,16.1,65,89,1000,29,155,4.19,1,291,RE,BL,0,0,0.9959145898063066,0
401493,1,564,853,39,La Coruña,22374,34611,32,1,19.0,0,77,1017,13,254,3.64,1,481,BL,GRN,0,0,0.6464418826384676,0
2295,2,8,13,207,Stoke,27455,30089,462,1,18.0,90,72,1014,10,202,10.08,0,55,RE,BL,0,0,0.9124597028814517,0
2306,2,8,13,208,Swansea,20024,20827,515,1,16.6,13,83,1004,14,249,19.47,0,336,W,RE,0,1,0.9614442790608345,0
2315,1,8,13,209,London,31447,5000,462,1,18.0,52,66,1007,28,231,9.03,0,7,W,YE,1,0,1.0,0
2344,1,8,13,200,Burnley,21313,21401,462,1,16.9,57,82,996,28,214,9.47,0,63,RE,RE,0,0,0.9958880426148311,0
2324,2,8,13,19,Watford,20772,22200,462,1,17.7,65,71,1006,27,236,8.83,0,24,YE,YE,0,0,0.9356756756756757,0
2334,2,8,13,119,West Bromwich,23654,26445,462,1,17.7,74,79,1001,26,200,8.22,0,123,BL,W,0,0,0.8944602004159576,0
252980,2,301,765,6162,Nantes,25908,37473,17,1,22.0,33,51,1017,18,258,8.78,0,801,YE,W,0,1,0.6913777920102474,0
299579,1,384,802,7189,Roma,30000,72698,251,1,28.4,6,57,1013,10,219,4.0,0,465,RE,GRN,0,0,0.41266609810448707,0
401502,1,564,853,9236,Barcelona,65731,98787,32,1,26.0,15,69,1015,12,75,3.39,0,829,BL,RE,0,0,0.6653810724083128,0
2353,0,8,13,117,Leicester,32008,32312,462,1,17.1,88,75,1014,10,213,8.03,0,138,BL,YE,0,0,0.9905917306263927,0
253023,2,301,765,6154,Angers,10142,20000,17,1,19.6,0,53,1018,19,240,5.69,0,735,BL,W,1,0,0.5071,0
253012,1,301,765,339996,Toulouse,19258,33150,17,1,19.9,95,64,1022,33,233,2.67,0,215,PU,W,0,0,0.5809351432880845,0
