id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,visibility,winddir,windgust,windspeed
251728,2016-08-12T20:00:00,42.6514,9.442619,23.9,0.0,27.8,48.54,1022.7,2016-08-12T20:27:50+02:00,30.1,21.0,17.1,11.0
251738,2016-08-12T20:30:00,43.727606,7.415614,17.9,0.0,25.0,73.33,,2016-08-12T20:38:13+02:00,10.0,312.0,11.2,3.3
2188,2016-08-13T13:30:00,53.746111,-0.367778,20.2,0.0,54.4,62.66,,2016-08-13T20:34:07+01:00,10.0,315.0,19.4,12.1
2208,2016-08-13T16:00:00,51.398333,-0.085556,22.2,0.0,38.5,62.28,1022.3,2016-08-13T20:25:42+01:00,43.0,243.0,,15.4
2234,2016-08-13T16:00:00,50.905833,-1.391111,21.3,0.0,51.3,67.64,1023.1,2016-08-13T20:29:30+01:00,36.2,247.0,,20.6
2225,2016-08-13T16:00:00,54.578333,-1.216944,19.0,0.0,63.9,61.13,1019.7,2016-08-13T20:40:19+01:00,39.3,279.0,,26.6
2216,2016-08-13T16:00:00,53.438801,-2.966328,17.7,0.0,70.3,71.11,1023.2,2016-08-13T20:43:30+01:00,16.8,289.0,,25.7
2197,2016-08-13T16:00:00,53.789167,-2.230278,16.7,0.0,58.8,71.61,1021.9,2016-08-13T20:41:42+01:00,36.0,283.0,,18.3
251748,2016-08-13T17:00:00,44.897222,-0.561667,33.7,0.0,0.0,25.35,1020.0,2016-08-13T21:11:08+02:00,21.1,54.0,21.6,9.6
2244,2016-08-13T18:30:00,53.483176,-2.20038,17.0,0.0,25.5,63.39,,2016-08-13T20:40:35+01:00,10.0,292.0,,21.6
251760,2016-08-13T20:00:00,43.622222,3.811944,23.5,0.0,0.0,47.79,1023.1,2016-08-13T20:50:54+02:00,41.4,214.0,25.0,14.0
252147,2016-08-13T20:00:00,47.324383,5.068342,28.0,0.0,0.0,45.06,1021.1,2016-08-13T20:54:16+02:00,26.5,170.0,14.7,7.5
252536,2016-08-13T20:00:00,49.179461,-0.396767,19.9,0.0,0.0,73.03,1024.3,2016-08-13T21:20:47+02:00,13.1,5.0,22.3,12.9
252926,2016-08-13T20:00:00,49.109813,6.159511,26.7,0.0,0.0,45.37,1021.6,2016-08-13T20:54:25+02:00,24.9,284.0,22.1,13.8
2254,2016-08-14T14:30:00,50.735278,-1.838333,23.7,0.0,50.0,44.7,,2016-08-14T20:28:53+01:00,10.0,313.0,13.8,6.5
252938,2016-08-14T15:00:00,48.6955,6.210687,28.2,0.0,0.0,34.37,1020.6,2016-08-14T20:51:21+02:00,37.1,310.0,27.7,12.9
2263,2016-08-14T17:00:00,51.55505,-0.108046,22.4,0.0,3.6,44.71,1025.1,2016-08-14T20:24:17+01:00,41.3,41.0,,12.1
252948,2016-08-14T17:00:00,43.705139,7.192583,27.0,0.0,0.0,56.65,1021.1,2016-08-14T20:36:04+02:00,32.0,168.0,12.6,9.2
252959,2016-08-14T20:45:00,43.27197,5.39114,25.0,0.0,,39.95,,2016-08-14T20:42:23+02:00,10.0,239.0,,12.3
2277,2016-08-15T21:00:00,51.481579,-0.191094,17.8,0.0,4.9,62.75,1022.8,2016-08-15T20:22:26+01:00,45.7,106.0,,13.5
252969,2016-08-19T20:45:00,45.75322,4.97318,24.9,0.0,,54.57,,2016-08-19T20:41:01+02:00,10.0,30.0,,4.3
401484,2016-08-19T20:45:00,36.734209,-4.426602,31.9,0.0,,46.71,,2016-08-19T21:03:26+02:00,10.0,217.0,9.0,3.7
2286,2016-08-19T21:00:00,53.46315,-2.291444,16.1,0.0,65.9,89.64,1000.3,2016-08-19T20:27:56+01:00,29.1,155.0,,15.1
401493,2016-08-19T22:00:00,43.3713,-8.396,19.0,0.0,0.0,77.65,1017.2,2016-08-19T21:29:59+02:00,13.0,254.0,4.7,13.1
2295,2016-08-20T13:30:00,52.988419,-2.175398,18.0,0.0,90.7,72.58,,2016-08-20T20:23:59+01:00,10.0,202.0,,36.3
2334,2016-08-20T16:00:00,52.509068,-1.963892,17.7,0.0,74.6,79.09,1001.7,2016-08-20T20:21:54+01:00,26.8,200.0,59.8,29.6
2315,2016-08-20T16:00:00,51.390098,0.021055,18.0,0.0,52.2,66.8,1007.4,2016-08-20T20:11:11+01:00,28.4,231.0,53.4,32.5
2306,2016-08-20T16:00:00,51.642763,-3.934579,16.6,0.0,13.4,83.12,1004.1,2016-08-20T20:27:36+01:00,14.3,249.0,87.4,70.1
2344,2016-08-20T16:00:00,53.789167,-2.230278,16.9,0.0,57.8,82.53,996.9,2016-08-20T20:26:21+01:00,28.3,214.0,52.7,34.1
2324,2016-08-20T16:00:00,51.649836,-0.401486,17.7,0.0,65.5,71.28,1006.3,2016-08-20T20:13:30+01:00,27.7,236.0,52.7,31.8
252980,2016-08-20T17:00:00,47.255631,-1.525375,22.0,0.0,33.0,51.83,1017.5,2016-08-20T21:08:13+02:00,18.5,258.0,51.5,31.6
299579,2016-08-20T18:00:00,41.933886,12.454786,28.4,0.0,6.9,57.06,,2016-08-20T20:02:38+02:00,10.0,219.0,,14.4
401502,2016-08-20T18:15:00,41.38089,2.122813,26.0,0.0,15.8,69.26,1015.7,2016-08-20T20:43:00+02:00,12.4,75.0,17.6,12.2
2353,2016-08-20T18:30:00,52.620278,-1.142222,17.1,0.0,88.0,75.45,,2016-08-20T20:18:54+01:00,10.0,213.0,41.4,28.9
253023,2016-08-20T20:00:00,47.4695,-0.55402,19.6,0.0,0.2,53.48,1018.1,2016-08-20T21:04:46+02:00,19.9,240.0,48.2,20.5
253012,2016-08-20T20:00:00,43.59884,1.43786,19.9,0.0,95.8,64.75,1022.1,2016-08-20T20:49:30+02:00,33.9,233.0,15.9,9.6
253002,2016-08-20T20:00:00,50.631111,3.1375,19.8,0.0,1.0,58.93,1012.7,2016-08-20T20:56:56+02:00,13.1,240.0,35.0,20.3
252990,2016-08-20T20:00:00,47.748747,-3.369367,18.1,0.0,7.1,68.6,1018.3,2016-08-20T21:16:36+02:00,15.8,266.0,51.4,30.4
253036,2016-08-20T20:00:00,48.107458,-1.712839,19.8,0.0,89.2,52.87,1016.7,2016-08-20T21:10:43+02:00,26.9,250.0,42.8,21.9
401513,2016-08-20T20:15:00,37.152966,-3.595736,31.5,0.0,0.0,35.01,1011.8,2016-08-20T20:59:25+02:00,20.0,285.0,22.2,8.8
299590,2016-08-20T20:45:00,45.109444,7.641111,22.7,0.0,76.4,83.36,,2016-08-20T20:27:26+02:00,4.7,17.0,4.9,3.0
401524,2016-08-20T22:15:00,37.384046,-5.970592,28.3,0.0,0.0,47.68,1015.2,2016-08-20T21:09:14+02:00,10.0,223.0,14.4,7.1
2362,2016-08-21T14:30:00,54.91443,-1.388159,18.3,0.0,50.0,77.41,,2016-08-21T20:23:48+01:00,10.0,300.0,16.2,11.7
253046,2016-08-21T15:00:00,48.566285,-3.164599,20.5,0.0,81.9,61.15,1024.1,2016-08-21T21:15:36+02:00,18.4,274.0,38.8,25.1
2373,2016-08-21T17:00:00,51.538736,-0.016552,21.0,0.0,7.7,53.88,1018.9,2016-08-21T20:09:37+01:00,46.1,264.0,42.5,23.5
253058,2016-08-21T17:00:00,45.460833,4.390278,21.9,0.0,52.8,41.99,1023.2,2016-08-21T20:39:22+02:00,28.7,31.0,34.7,15.7
299602,2016-08-21T18:00:00,45.478025,9.124206,28.2,0.0,5.0,48.78,1012.9,2016-08-21T20:20:29+02:00,10.0,255.0,22.0,10.9
401535,2016-08-21T18:15:00,43.536284,-5.637397,22.3,0.0,0.0,66.65,1024.2,2016-08-21T21:16:02+02:00,15.7,60.0,35.3,17.6
401544,2016-08-21T20:15:00,43.301376,-1.973602,19.8,0.0,10.5,70.07,1026.3,2016-08-21T21:01:00+02:00,36.4,2.0,22.8,8.1
299638,2016-08-21T20:45:00,45.435356,10.968647,25.0,0.0,50.0,73.74,,2016-08-21T20:13:03+02:00,10.0,268.0,,5.5
