iter	Passed	Remaining
0	3	1991
1	5	1488
2	8	1340
3	10	1288
4	12	1223
5	14	1178
6	16	1147
7	18	1131
8	20	1113
9	22	1096
10	24	1092
11	26	1095
12	28	1083
13	30	1072
14	32	1064
15	35	1073
16	37	1066
17	39	1061
18	41	1056
19	43	1051
20	45	1046
21	47	1041
22	50	1038
23	52	1033
24	54	1027
25	56	1031
26	59	1037
27	61	1038
28	63	1033
29	65	1028
30	67	1026
31	69	1021
32	73	1033
33	75	1029
34	77	1025
35	79	1019
36	81	1015
37	83	1013
38	85	1008
39	87	1008
40	89	1006
41	91	1002
42	93	998
43	95	993
44	98	991
45	100	988
46	102	984
47	104	984
48	107	984
49	109	981
50	110	977
51	112	973
52	115	971
53	117	968
54	119	965
55	121	962
56	123	959
57	125	956
58	127	952
59	129	949
60	131	947
61	133	944
62	136	946
63	138	944
64	140	941
65	142	938
66	144	936
67	147	935
68	149	932
69	151	929
70	153	926
71	155	924
72	157	921
73	159	920
74	162	919
75	164	916
76	166	913
77	168	912
78	170	909
79	172	907
80	174	904
81	176	901
82	179	900
83	181	898
84	183	895
85	185	894
86	187	891
87	189	889
88	191	886
89	194	884
90	196	882
91	199	883
92	201	882
93	203	880
94	205	877
95	208	878
96	210	876
97	213	874
98	216	875
99	218	874
100	220	871
101	222	869
102	224	866
103	227	864
104	229	862
105	232	862
106	235	863
107	237	861
108	239	859
109	241	857
110	243	855
111	247	858
112	250	858
113	252	855
114	254	853
115	257	851
116	259	849
117	262	850
118	265	850
119	267	847
120	269	844
121	271	842
122	274	840
123	276	837
124	279	837
125	282	837
126	284	834
127	286	831
128	288	829
129	290	826
130	292	823
131	295	825
132	298	823
133	300	821
134	302	818
135	304	815
136	307	813
137	309	810
138	313	813
139	316	813
140	318	810
141	320	807
142	322	805
143	324	802
144	328	803
145	330	801
146	332	798
147	335	797
148	337	794
149	339	792
150	342	791
151	345	791
152	347	788
153	349	785
154	351	782
155	354	780
156	356	777
157	358	775
158	361	775
159	363	772
160	365	770
161	367	767
162	369	764
163	372	762
164	375	761
165	377	760
166	379	757
167	382	755
168	384	752
169	386	750
170	388	747
171	393	749
172	395	746
173	397	744
174	399	741
175	401	739
176	403	736
177	407	736
178	410	736
179	412	733
180	414	730
181	416	728
182	419	726
183	422	725
184	425	725
185	428	722
186	430	719
187	432	717
188	434	715
189	436	712
190	440	712
191	442	710
192	444	707
193	446	704
194	449	702
195	451	699
196	453	697
197	456	695
198	458	692
199	460	690
200	462	687
201	464	685
202	466	682
203	468	680
204	471	678
205	473	675
206	475	673
207	477	670
208	480	668
209	482	665
210	484	663
211	487	661
212	489	659
213	491	657
214	494	655
215	496	653
216	499	651
217	502	649
218	504	647
219	507	645
220	509	643
221	512	641
222	514	639
223	516	636
224	519	635
225	521	632
226	523	629
227	525	627
228	528	625
229	530	623
230	533	620
231	535	618
232	537	615
233	539	613
234	541	610
235	543	608
236	545	605
237	547	603
238	550	600
239	552	598
240	554	595
241	556	593
242	558	590
243	560	588
244	562	585
245	564	583
246	567	580
247	569	578
248	571	575
249	573	573
250	575	570
251	577	568
252	579	565
253	581	563
254	584	561
255	586	558
256	588	556
257	590	553
258	592	551
259	594	548
260	596	546
261	598	544
262	600	541
263	602	538
264	604	536
265	606	533
266	609	531
267	610	528
268	613	526
269	615	524
270	617	521
271	619	519
272	621	516
273	624	514
274	626	512
275	628	510
276	630	507
277	632	505
278	634	502
279	637	500
280	639	498
281	641	496
282	643	493
283	645	491
284	648	488
285	650	486
286	652	483
287	654	481
288	656	479
289	658	476
290	660	474
291	662	472
292	664	469
293	666	467
294	668	464
295	671	462
296	673	460
297	675	457
298	677	455
299	679	453
300	681	450
301	683	448
302	685	445
303	688	443
304	690	441
305	692	438
306	694	436
307	696	434
308	698	431
309	700	429
310	702	426
311	704	424
312	706	422
313	709	420
314	711	417
315	713	415
316	715	412
317	717	410
318	719	408
319	721	406
320	723	403
321	726	401
322	728	399
323	730	396
324	732	394
325	735	392
326	737	390
327	739	387
328	741	385
329	743	383
330	745	380
331	747	378
332	749	376
333	752	373
334	754	371
335	756	369
336	758	367
337	760	364
338	762	362
339	765	360
340	767	357
341	769	355
342	772	353
343	774	351
344	776	349
345	778	346
346	780	344
347	783	342
348	785	339
349	787	337
350	790	335
351	792	333
352	794	330
353	796	328
354	799	326
355	801	324
356	803	321
357	806	319
358	808	317
359	810	315
360	812	313
361	815	310
362	818	308
363	821	306
364	823	304
365	825	302
366	828	300
367	830	297
368	832	295
369	835	293
370	838	291
371	840	289
372	842	286
373	844	284
